Ticker,Name,Market Cap,Sector,Industry
BMT.AX,BEAMTREEHD FPO [BMT],78235472,Healthcare,Health Information Services
BNL.AX,BLUESTAR FPO [BNL],10779560,Energy,Oil & Gas E&P
BNR.AX,BULLETIN FPO [BNR],11450907,Basic Materials,Gold
BNZ.AX,BENZMINING CDI 1:1 [BNZ],69308768,Basic Materials,Other Industrial Metals & Mining
BOA.AX,BOA RES FPO [BOA],2343707,Basic Materials,Other Industrial Metals & Mining
BOC.AX,BOUGVLLE.C FPO 1K [BOC],142377008,Basic Materials,Other Precious Metals & Mining
BOD.AX,"BOD.AX,0P00018X7B,0",N/A,N/A,N/A
BOE.AX,BOSS EN FPO [BOE],1061091904,Energy,Uranium
BOL.AX,BOOM FPO [BOL],51747876,Industrials,Specialty Business Services
BOQ.AX,BANK QLD FPO [BOQ],4399688704,Financial Services,Banks - Regional
BOT.AX,BOTANIX FPO [BOT],863374208,Healthcare,Biotechnology
BP8.AX,BPH GLOBAL FPO [BP8],1419924,Healthcare,Drug Manufacturers - Specialty & Generic
BPH.AX,BPH ENERGY FPO [BPH],13400530,Financial Services,Asset Management
BPM.AX,BPM MIN FPO [BPM],5614193,Basic Materials,Other Precious Metals & Mining
BPP.AX,BABYLONPU FPO [BPP],12497749,Industrials,Rental & Leasing Services
BPT.AX,BEACH FPO [BPT],3285115136,Energy,Oil & Gas E&P
